"filename", "language", "Go", "Go Module File", "Go Checksum File", "comment", "blank", "total"
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/utils/utils.go", "Go", 110, 0, 0, 0, 38, 148
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/csp/softimpl/utils/utils_test.go", "Go", 43, 0, 0, 0, 12, 55
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/go.mod", "Go Module File", 0, 49, 0, 0, 4, 53
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/go.sum", "Go Checksum File", 0, 0, 560, 0, 1, 561
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/discovery/common_test.go", "Go", 133, 0, 0, 0, 26, 159
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/discovery/cryptoService.go", "Go", 89, 0, 0, 0, 20, 109
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/discovery/discovery.go", "Go", 1090, 0, 0, 0, 171, 1261
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/discovery/discovery_test.go", "Go", 788, 0, 0, 0, 126, 914
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/election/adapter.go", "Go", 135, 0, 0, 0, 32, 167
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/election/election.go", "Go", 342, 0, 0, 0, 43, 385
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/election/election_test.go", "Go", 408, 0, 0, 0, 49, 457
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/algo/pull.go", "Go", 293, 0, 0, 0, 67, 360
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/algo/pull_test.go", "Go", 419, 0, 0, 0, 82, 501
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/channel/channel.go", "Go", 935, 0, 0, 0, 141, 1076
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/channel/channel_test.go", "Go", 1343, 0, 0, 0, 193, 1536
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/comm/ack.go", "Go", 65, 0, 0, 0, 13, 78
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/comm/comm.go", "Go", 620, 0, 0, 0, 95, 715
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/comm/comm_test.go", "Go", 880, 0, 0, 0, 136, 1016
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/comm/conn.go", "Go", 275, 0, 0, 0, 39, 314
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/comm/demux.go", "Go", 71, 0, 0, 0, 11, 82
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/comm/msg.go", "Go", 41, 0, 0, 0, 8, 49
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/msgstore/msgs.go", "Go", 192, 0, 0, 0, 43, 235
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/msgstore/msgs_test.go", "Go", 221, 0, 0, 0, 52, 273
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/pull/pull.go", "Go", 300, 0, 0, 0, 50, 350
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/gossip/pull/pull_test.go", "Go", 372, 0, 0, 0, 58, 430
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/metrics/metrics.go", "Go", 105, 0, 0, 0, 20, 125
"/home/iris/experiment/code/go/src/github.com/11090815/mayy/gossip/mocks/mock_test.go", "Go", 11, 0, 0, 0, 4, 15
